PeakID	Title	Scans	RT left(min)	RT (min)	RT right (min)	Precursor m/z	Height	Area	Model masses	Adduct	Isotope	Comment	Reference RT	Reference m/z	Formula	Ontology	InChIKey	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	RT similarity	Dot product	Reverse dot product	Fragment presence %	Total score	S/N	MS1 isotopes	MSMS spectrum
0	Unknown	472	3.377782	3.567888	3.772667	204.1593	64438.10546875	252545.234375	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	1288.762	203.99168:6305 204.07147:15110 204.0862:3101 204.15926:76031 205.02859:26576 205.1628:8470 205.98708:82077 206.06013:7201 206.10193:5759 206.98763:2737 206.99458:9703 207.04468:4054 208.99525:17578	
1	Unknown	563	4.116405	4.23342	4.291985	215.1252	87558.0625	607225	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	51.36391	214.98767:2985 215.10258:4693 215.12518:94559 215.99551:4232 216.0865:13901 216.12828:5008 217.10768:6573 217.99573:3905 218.10222:30431 218.99487:8978 219.01747:20173 219.10582:5657 220.04906:82427	
2	Unknown	620	4.6211	4.650311	4.745372	432.2801	116335.921875	445738.03125	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	110.9054	432.28009:130097 432.88376:3208 433.28348:25920 433.6525:2270 434.23819:3072 434.6203:2293 435.3768:2348 436.2182:2859 437.23547:50017	
3	Unknown	656	4.642993	4.913633	5.074481	476.306	117488.8359375	674740.875	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	153.3082	476.306:129722 477.3096:28881 478.31345:3608 478.90503:2595 481.2612:34359	
4	Unknown	666	4.825823	4.986768	5.169608	218.1969	72962.1953125	288157.125	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	1459.244	217.83609:3544 218.05885:2770 218.07016:3931 218.10216:25767 218.13858:13857 218.16547:6143 218.16785:4670 218.17018:7538 218.17276:5230 218.17764:7953 218.18005:9403 218.18492:9927 218.18752:8042 218.18977:15038 218.19214:17006 218.19693:32194 218.19968:21190 218.20409:77476 218.21091:8645305 218.22026:41093 218.22229:31376 218.22728:23206 218.22987:9768 218.23428:12211 218.23746:6427 218.23965:11459 218.24663:8224 218.2538:6151 218.53784:3066 218.58577:9123 218.59737:3574 218.60968:3092 218.65657:2364 218.68011:2907 218.99446:4376 219.01721:12422 219.17572:3365 219.20021:3760 219.20799:24381 219.21425:1127343 219.22336:5922 219.22635:4334 220.0486:76387 220.21321:11688 220.21806:56299 220.99452:5759 221.05209:5375 221.11681:4980 221.1534:2892 221.21756:3677 222.112:3229 223.0932:13072	
5	Unknown	666	4.803935	4.986768	5.198813	218.2041	66998.578125	271802.625	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	1339.972	217.83609:3544 218.05885:2770 218.07016:3931 218.10216:25767 218.13858:13857 218.16547:6143 218.16785:4670 218.17018:7538 218.17276:5230 218.17764:7953 218.18005:9403 218.18492:9927 218.18752:8042 218.18977:15038 218.19214:17006 218.19693:32194 218.19968:21190 218.20409:77476 218.21091:8645305 218.22026:41093 218.22229:31376 218.22728:23206 218.22987:9768 218.23428:12211 218.23746:6427 218.23965:11459 218.24663:8224 218.2538:6151 218.53784:3066 218.58577:9123 218.59737:3574 218.60968:3092 218.65657:2364 218.68011:2907 218.99446:4376 219.01721:12422 219.17572:3365 219.20021:3760 219.20799:24381 219.21425:1127343 219.22336:5922 219.22635:4334 220.0486:76387 220.21321:11688 220.21806:56299 220.99452:5759 221.05209:5375 221.11681:4980 221.1534:2892 221.21756:3677 222.112:3229 223.0932:13072	
6	Unknown	666	4.606425	4.986768	5.469422	218.2109	8041847	38755468	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	13648.74	217.83609:3544 218.05885:2770 218.07016:3931 218.10216:25767 218.13858:13857 218.16547:6143 218.16785:4670 218.17018:7538 218.17276:5230 218.17764:7953 218.18005:9403 218.18492:9927 218.18752:8042 218.18977:15038 218.19214:17006 218.19693:32194 218.19968:21190 218.20409:77476 218.21091:8645305 218.22026:41093 218.22229:31376 218.22728:23206 218.22987:9768 218.23428:12211 218.23746:6427 218.23965:11459 218.24663:8224 218.2538:6151 218.53784:3066 218.58577:9123 218.59737:3574 218.60968:3092 218.65657:2364 218.68011:2907 218.99446:4376 219.01721:12422 219.17572:3365 219.20021:3760 219.20799:24381 219.21425:1127343 219.22336:5922 219.22635:4334 220.0486:76387 220.21321:11688 220.21806:56299 220.99452:5759 221.05209:5375 221.11681:4980 221.1534:2892 221.21756:3677 222.112:3229 223.0932:13072	
7	Unknown	666	4.803935	4.986768	5.1915	218.2203	67195.6171875	260472.109375	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	1343.912	217.83609:3544 218.05885:2770 218.07016:3931 218.10216:25767 218.13858:13857 218.16547:6143 218.16785:4670 218.17018:7538 218.17276:5230 218.17764:7953 218.18005:9403 218.18492:9927 218.18752:8042 218.18977:15038 218.19214:17006 218.19693:32194 218.19968:21190 218.20409:77476 218.21091:8645305 218.22026:41093 218.22229:31376 218.22728:23206 218.22987:9768 218.23428:12211 218.23746:6427 218.23965:11459 218.24663:8224 218.2538:6151 218.53784:3066 218.58577:9123 218.59737:3574 218.60968:3092 218.65657:2364 218.68011:2907 218.99446:4376 219.01721:12422 219.17572:3365 219.20021:3760 219.20799:24381 219.21425:1127343 219.22336:5922 219.22635:4334 220.0486:76387 220.21321:11688 220.21806:56299 220.99452:5759 221.05209:5375 221.11681:4980 221.1534:2892 221.21756:3677 222.112:3229 223.0932:13072	
8	Unknown	666	4.79657	4.986768	5.220867	219.2142	1045763.25	4956147.5	null	[M+H]+	M + 1	isotope of 6	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	1502.698	218.99446:4376 219.01721:12422 219.17572:3365 219.20021:3760 219.20799:24381 219.21425:1127343 219.22336:5922 219.22635:4334 220.0486:76387 220.21321:11688 220.21806:56299 220.99452:5759 221.05209:5375 221.11681:4980 221.1534:2892 221.21756:3677 222.112:3229 223.0932:13072 223.29958:2609 223.46664:2601	
9	Unknown	666	4.79657	4.986768	5.213447	220.2181	60983.1796875	277746.84375	null	[M+H]+	M + 2	isotope of 6	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	1219.664	220.0486:76387 220.21321:11688 220.21806:56299 220.99452:5759 221.05209:5375 221.11681:4980 221.1534:2892 221.21756:3677 222.112:3229 223.0932:13072 223.29958:2609 223.46664:2601 225.11188:4078	
